title,datestamp,content_html,title_welsh,datestamp_welsh,content_html_welsh
Testing for close contacts of positive cases,2021-03-10T00:00:00Z,"<p><a href=""https://gov.wales/ps60m-extend-contact-tracing-over-summer"">Wales’ Health Minister, announces</a> that people who are close contacts of someone who has tested positive for coronavirus and have been asked to isolate by contact tracers will now be offered a coronavirus test. The Minister also announces an extra £50 million to allow health boards to extend contact tracing over the summer.</p>",Profion ar gyfer cysylltiadau agos y rheini sydd wedi cael prawf positif,2021-03-10T00:00:00Z,"<p><a href=""https://llyw.cymru/ps60m-i-barhau-ar-gwaith-o-olrhain-cysylltiadau-dros-yr-haf"">Gweinidog Iechyd Cymru yn cyhoeddi</a> y bydd pobl sy'n gysylltiadau agos i’r rheini sydd wedi cael canlyniad positif mewn prawf coronafeirws, ac y gofynnwyd iddynt hunanynysu gan y tîm olrhain cysylltiadau, bellach yn cael cynnig prawf coronafeirws. Mae'r Gweinidog hefyd wedi cyhoeddi £50 miliwn yn ychwanegol i ganiatáu i fyrddau iechyd ymestyn y gwaith o olrhain cysylltiadau dros yr haf.</p>"
Framework for Covid-19 testing for hospital patients in Wales,2021-03-09T00:00:00Z,"<p><a href=""https://gov.wales/written-statement-framework-covid-19-testing-hospital-patients-wales"">Health Minister, Vaughan Gething, announces</a> publication of a framework for testing hospital patients in Wales to prevent coronavirus from entering hospitals undetected, to prevent its spread within hospitals and to ensure the safe discharge of patients to their home or to community care.</p>",Fframwaith ar gyfer rhoi profion COVID-19 i gleifion mewn ysbytai yng Nghymru,2021-03-09T00:00:00Z,"<p><a href=""https://llyw.cymru/datganiad-ysgrifenedig-fframwaith-ar-gyfer-rhoi-profion-covid-19-i-gleifion-ysbytai-yng-nghymru"">Vaughan Gething, y Gweinidog Iechyd, yn cyhoeddi</a> fframwaith ar gyfer rhoi profion i gleifion mewn ysbytai yng Nghymru er mwyn atal y coronafeirws rhag mynd i mewn i ysbytai heb yn wybod, ei atal rhag lledaenu mewn ysbytai ac i sicrhau bod modd rhyddhau cleifion yn ddiogel i fynd adref neu i ofal cymunedol.  </p>"
Update on care home visits,2021-03-04T00:00:00Z,"<p><a href=""https://gov.wales/written-statement-update-care-home-visiting-1"">Deputy Minister for Health and Social Services, Julie Morgan, announces</a> that routine indoor visiting to care homes by a single, designated visitor should be able to resume from 13 March 2021, as part of the package of wider measures being considered by the Welsh Government for the three-week coronavirus review.  </p>",Y wybodaeth ddiweddaraf am ymweliadau â chartrefi gofal,2021-03-04T00:00:00Z,"<p>Mae <a href=""https://llyw.cymru/datganiad-ysgrifenedig-y-diweddaraf-ar-ymweliadau-chartrefi-gofal"">Julie Morgan, y Dirprwy Weinidog Iechyd a Gwasanaethau Cymdeithasol, yn cyhoeddi</a> y dylai ymweliadau dan do â chartrefi gofal gan un ymwelydd dynodedig allu ailddechrau o 13 Mawrth 2021 ymlaen, fel rhan o'r pecyn o fesurau ehangach sy'n cael eu hystyried gan Lywodraeth Cymru ar gyfer yr adolygiad tair wythnos o reoliadau’r coronafeirws.  </p>"
More pupils to return to school before Easter,2021-03-03T00:00:00Z,"<p><a href=""https://gov.wales/more-pupils-have-opportunity-return-schools-easter"">Education Minister, Kirsty Williams, announces</a> that from 15 March 2021, all secondary school settings will have the flexibility to provide learners in years 7, 8 and 9 with the opportunity of a check-in with teachers, focussed on support for wellbeing and readiness for a full return to school after the Easter holidays. This will not be a full return to school for years 7, 8 and 9 before Easter. The plans will be subject to the regular three-week review of coronavirus regulations by the Welsh Government on 12 March 2021.</p>",Mwy o ddisgyblion i ddychwelyd i'r ysgol cyn y Pasg,2021-03-03T00:00:00Z,"<p>Mae <a href=""https://llyw.cymru/mwy-o-ddisgyblion-i-gael-y-cyfle-i-ddychwelyd-ir-ysgol-cyn-y-pasg"">Kirsty Williams, y Gweinidog Addysg, yn cyhoeddi</a><u>, </u>o 15 Mawrth 2021 ymlaen, bydd gan bob ysgol uwchradd yr hyblygrwydd i roi cyfle i ddysgwyr ym mlynyddoedd 7, 8 a 9 gael sesiwn gydag athrawon sy’n canolbwyntio ar roi cymorth ar gyfer lles a pharodrwydd i ddychwelyd yn llawn i'r ysgol ar ôl gwyliau'r Pasg. Ni fydd hyn yn golygu bod blynyddoedd 7, 8 a 9 yn dychwelyd yn llawn i'r ysgol cyn y Pasg. Bydd y cynlluniau yn amodol ar adolygiad rheolaidd tair wythnos Llywodraeth Cymru o reoliadau’r coronafeirws ar 12 Mawrth 2021.</p>"
£680 million COVID-19 cash boost for Wales,2021-03-01T00:00:00Z,"<p><a href=""https://gov.wales/covid-cash-boost-for-wales"">First Minister, Mark Drakeford, announces</a> that Wales’ public services will receive a cash boost of more than £682 million to support their COVID-19 efforts. The package includes more than £635 million for the NHS and local councils to help them support the people of Wales over the next 6 months and an additional £206.5 million for the Local Government Hardship Fund. Funding is given to extend the Discretionary Assistance Fund, to support apprenticeships, and to maintain vital public transport provision.</p>",Hwb ariannol o £680 miliwn i Gymru ar gyfer COVID-19,2021-03-01T00:00:00Z,"<p>Mae <a href=""https://llyw.cymru/hwb-ariannol-o-680m-ar-gyfer-ymdrechion-covid-cymru"">Mark Drakeford, y Prif Weinidog, yn cyhoeddi</a> y bydd gwasanaethau cyhoeddus Cymru yn cael hwb ariannol o fwy na £682 miliwn i gefnogi eu hymdrechion COVID-19. Mae'r pecyn yn cynnwys mwy na £635 miliwn ar gyfer y GIG a chynghorau lleol i'w helpu i gefnogi pobl Cymru dros y chwe mis nesaf a £206.5 miliwn yn ychwanegol ar gyfer y Gronfa Caledi Llywodraeth Leol. Rhoddir cyllid i ymestyn y Gronfa Cymorth Dewisol, i gefnogi prentisiaethau, ac i gynnal darpariaeth trafnidiaeth gyhoeddus hanfodol.</p>"
Updated vaccine targets,2021-02-26T00:00:00Z,"<p>An <a href=""https://gov.wales/covid-19-vaccine-strategy-update-february-2021"">updated vaccine strategy for Wales</a> has been published. This includes updated targets to offer the vaccine to all current priority groups by mid-April 2021, and to the wider adult population by the end of July 2021.</p>",Y targedau diweddaraf ar gyfer y brechlyn,2021-02-26T00:00:00Z,"<p>Mae <a href=""https://llyw.cymru/diweddariad-strategaeth-brechu-covid-19-chwefror-2021"">diweddariad o’r strategaeth frechu ar gyfer Cymru</a> yn cael ei gyhoeddi. Mae’r diweddariad hwn yn cynnwys y targedau diweddaraf o ran cynnig y brechlyn i'r holl grwpiau blaenoriaeth cyfredol erbyn canol mis Ebrill 2021, ac i weddill y boblogaeth oedolion erbyn diwedd mis Gorffennaf 2021.</p>"
Expanded testing programme,2021-02-24T00:00:00Z,"<p>Wales’ <a href=""https://gov.wales/vaccine-and-testing-boost-help-re-open-wales-safely"">Health Minister announces</a> that the scheme for workplaces to carry out testing and set up their own test sites is now being extended to public and private organisations with more than 50 employees. A <a href=""https://gov.wales/covid-19-workplace-testing-framework"">workplace testing framework</a> has been published setting out the criteria and support available. From the 1 March 2021, targeted community testing will begin in parts of Bridgend, Merthyr Tydfil and Rhondda Cynon Taf which aims to help identify asymptomatic people with coronavirus.</p>",Rhaglen brofi yn cael ei hehangu,2021-02-24T00:00:00Z,"<p>Mae <a href=""https://llyw.cymru/hwb-ir-rhaglenni-brechu-phrofi-er-mwyn-helpu-i-ailagor-cymru-yn-ddiogel"">Gweinidog Iechyd Cymru yn cyhoeddi</a> bod y cynllun i weithleoedd gynnal profion a sefydlu eu safleoedd profi eu hunain bellach yn cael ei ymestyn i sefydliadau cyhoeddus a phreifat sydd â mwy na 50 o gyflogeion. Mae <a href=""https://llyw.cymru/fframwaith-profi-covid-19-yn-y-gweithle"">fframwaith profi COVID-19 yn y gweithle</a> yn cael ei gyhoeddi. Mae’r fframwaith hwn yn nodi'r meini prawf a'r cymorth sydd ar gael. Ar 1 Mawrth 2021, bydd cyfundrefn o brofion cymunedol wedi'u targedu yn dechrau mewn rhannau o Ben-y-bont ar Ogwr, Merthyr Tudful a Rhondda Cynon Taf, gyda’r nod o adnabod y bobl hynny sydd â’r coronafeirws ond sy’n asymptomatig.</p>"
Scotland’s route out of lockdown,2021-02-24T00:00:00Z,"<p><a href=""https://www.bbc.co.uk/news/uk-scotland-56170916"">Scotland’s First Minister, Nicola Sturgeon, announces</a> the planned route out of lockdown for Scotland, with all primary pupils and some secondary students returning to school from 15 March 2021, and four people from two households being allowed to meet outdoors from the same date.</p>",Llwybr yr Alban allan o’r cyfnod clo,2021-02-24T00:00:00Z,"<p><a href=""https://www.bbc.co.uk/news/uk-scotland-56170916"">Mae Nicola Sturgeon, Prif Weinidog yr Alban, yn cyhoeddi’r</a> llwybr arfaethedig allan o’r cyfnod clo ar gyfer yr Alban. O dan y cynllun hwn, bydd yr holl ddisgyblion cynradd a rhai disgyblion uwchradd yn dychwelyd i'r ysgol ar 15 Mawrth 2021, a bydd pedwar person o ddwy aelwyd yn cael cwrdd yn yr awyr agored ar yr un dyddiad.</p>"
Roadmap for lifting lockdown in England,2021-02-22T00:00:00Z,"<p><a href=""https://www.gov.uk/government/speeches/pm-statement-to-the-house-of-commons-on-roadmap-for-easing-lockdown-restrictions-in-england-22-february-2021"">The UK Prime Minister makes a statement</a> to the House of Commons outlining a <a href=""https://www.gov.uk/government/publications/covid-19-response-spring-2021"">roadmap</a> for easing lockdown restrictions in England. The roadmap is split into four steps, with at least five weeks between each step. Step one, which includes a return to school/further education for all children in England, begins on 8 March 2021. Step four will begin no earlier than 21 June 2021, where the aim is for all restrictions to be lifted.</p>",Map ffordd ar gyfer rhoi terfyn ar y cyfnod clo yn Lloegr,2021-02-22T00:00:00Z,"<p><a href=""https://www.gov.uk/government/speeches/pm-statement-to-the-house-of-commons-on-roadmap-for-easing-lockdown-restrictions-in-england-22-february-2021"">Mae Prif Weinidog y DU yn gwneud datganiad</a> yn Nhŷ'r Cyffredin yn amlinellu <a href=""https://www.gov.uk/government/publications/covid-19-response-spring-2021"">map ffordd</a> ar gyfer llacio cyfyngiadau’r cyfnod clo yn Lloegr. Rhennir y map ffordd yn bedwar cam, ac mae cyfnod o bum wythnos o leiaf rhwng pob cam. Mae cam un, sy'n cynnwys pob plentyn yn Lloegr yn dychwelyd i'r ysgol / sefydliadau addysg bellach, yn dechrau ar 8 Mawrth 2021. Nod cam pedwar yw codi’r holl gyfyngiadau, ond ni fydd y cam hwn yn dechrau cyn 21 Mehefin 2021.</p>"
Testing offer extended to upper secondary and college learners,2021-02-22T00:00:00Z,"<p><a href=""https://gov.wales/written-statement-extension-testing-offer-schools-colleges-and-childcare-settings-include-upper"">Welsh Government Ministers announce</a> that they are extending the offer of regular, twice weekly, lateral flow tests (LFTs) at home to all those of upper secondary age. This will start with offering tests to years 11 to 13, and to all further education college learners and those on work-based apprenticeship and traineeship programmes. The Welsh Government intends to make these tests available in line with the next phase of the return to face-to-face learning.</p>",Y cynnig i gyflenwi profion yn cael ei ymestyn i gynnwys dysgwyr uwchradd a cholegau uwch,2021-02-22T00:00:00Z,"<p><a href=""https://llyw.cymru/datganiad-ysgrifenedig-y-cynnig-i-gyflenwi-profion-ar-gyfer-ysgolion-colegau-lleoliadau-gofal-plant"">Mae Gweinidogion Llywodraeth Cymru yn cyhoeddi</a> eu bod yn ymestyn y cynnig i gyflenwi profion llif unffordd rheolaidd y gellir eu defnyddio ddwywaith yr wythnos yn y cartref, er mwyn i’r cynnig gynnwys dysgwr oedran uwchradd uwch. Bydd y broses hon yn dechrau drwy gynnig profion i flynyddoedd 11 i 13 a holl ddysgwyr colegau addysg bellach, a dysgwyr ar raglenni prentisiaeth a hyfforddeiaeth seiliedig ar waith. Mae Llywodraeth Cymru yn bwriadu sicrhau bod y profion hyn ar gael yn unol â cham nesaf y broses o ddychwelyd i ddysgu wyneb yn wyneb.</p>"
Lockdown to continue for further three weeks,2021-02-19T00:00:00Z,"<p><a href=""https://gov.wales/lockdown-continue-further-three-weeks-pupils-return-school"">First Minister, Mark Drakeford, announces</a> that stay-at-home restrictions will continue in Wales for a further three weeks. Children aged three to seven and those sitting priority vocational qualifications will begin a phased return to school from 22 February 2021. Some minor changes to the current rules are also announced: from 20 February 2021, four people from two different households will be able to meet outdoors for socially distanced, local exercise (not in private gardens); from 1 March 2021, licensed wedding venues may re-open but only to perform wedding and civil partnership ceremonies; arrangements will be made for more elite athletes to resume training and playing, and with the increase in vaccination, the Welsh Government will look again at guidance for care home visiting. The First Minister says that if the situation continues to improve over the next three weeks, it may be possible for more primary school children and older students to return to school from 15 March 2021.</p>",Y cyfyngiadau symud i barhau am dair wythnos arall,2021-02-19T00:00:00Z,"<p>Cyhoeddodd <a href=""https://llyw.cymru/y-cyfnod-clo-i-barhau-am-dair-wythnos-arall-wrth-i-ddisgyblion-fynd-yn-ol-ir-ysgol?_ga=2.125018442.1161490513.1613991882-1956720571.1569933366"">y Prif Weinidog, Mark Drakeford, </a> y bydd y cyfnod clo yn parhau yng Nghymru am dair wythnos arall. Bydd plant rhwng tair a saith oed a’r rhai sy'n sefyll cymwysterau galwedigaethol â blaenoriaeth yn dechrau dychwelyd yn raddol i'r ysgol o 22 Chwefror 2021 ymlaen. Cyhoeddwyd rhai mân newidiadau i'r rheolau presennol hefyd: o 20 Chwefror 2021, bydd pedwar o bobl o ddwy aelwyd wahanol yn cael cyfarfod yn yr awyr agored i ymarfer corff yn lleol, gan gadw pellter cymdeithasol (ond nid mewn gerddi preifat); o 1 Mawrth 2021, gall lleoliadau priodas trwyddedig ailagor ond dim ond i gynnal seremonïau priodas neu bartneriaeth sifil; bydd trefniadau’n mynd rhagddynt i ragor o athletwyr elitaidd ailddechrau ymarfer a chwarae ac, oherwydd y cynnydd yn y nifer sydd wedi cael eu brechu, bydd Llywodraeth Cymru yn edrych eto ar y canllawiau ar gyfer ymweld â chartrefi gofal. Yn ôl y Prif Weinidog, os bydd y sefyllfa’n parhau i wella dros y tair wythnos nesaf, mae’n bosibl y bydd mwy o blant ysgolion cynradd a myfyrwyr hŷn yn dychwelyd i’r ysgol o 15 Mawrth 2021 ymlaen.</p>"
Welsh coronavirus control plan updated,2021-02-19T00:00:00Z,"<p>The Welsh Government publishes an update to its <a href=""https://gov.wales/coronavirus-control-plan-alert-levels-wales"">Coronavirus control plan: alert levels in Wales</a>, published in December 2020. The update - <a href=""https://gov.wales/coronavirus-control-plan-alert-levels-wales-coming-out-lockdown"">Coronavirus control plan: alert levels in Wales (coming out of lockdown)</a> - sets out the Welsh Government’s current understanding of the impact of new variants, the systems in place to respond to the current challenges, and its approach to coming out of lockdown.</p>",Diweddaru cynllun rheoli’r coronafeirws yng Nghymru,2021-02-19T00:00:00Z,"<p>Cyhoeddodd Llywodraeth Cymru ei bod wedi diweddaru <a href=""https://llyw.cymru/cynllun-rheolir-coronafeirws-lefelau-rhybudd-yng-nghymru-llacior-cyfyngiadaun-raddol?_ga=2.192143594.1161490513.1613991882-1956720571.1569933366"">cynllun rheoli’r coronafeirws: lefelau rhybudd yng Nghymru</a>, a gyhoeddwyd fis Rhagfyr 2020. Mae’r diweddariad - <a href=""https://llyw.cymru/cynllun-rheolir-coronafeirws-lefelau-rhybudd-yng-nghymru-llacior-cyfyngiadaun-raddol?_ga=2.192143594.1161490513.1613991882-1956720571.1569933366"">Cynllun rheoli’r coronafeirws: lefelau rhybudd yng Nghymru (llacio’r cyfyngiadau’n raddol)</a> - yn cynnwwys dealltwriaeth bresennol Llywodraeth Cymru o effaith yr amrywiolynnau newydd, y systemau sydd ar waith i ymateb i'r heriau presennol, a'r modd y bydd yn llacio’r cyfyngiadau’n raddol.</p>"
Eligibility widened for self-isolation support payments,2021-02-17T00:00:00Z,"<p>Wales’ <a href=""https://gov.wales/eligibility-criteria-self-isolation-support-payment-widened"">Minister for Housing and Local Government, Julie James, announces</a> that the £500 Self-Isolation Support Payment scheme, which has been extended until June 2021, will now be open to applications from people with a personal income of less than £500 per week and those on Basic Statutory Sick Pay who have been asked to self-isolate by the Test, Trace, Protect service, the NHS Covid-19 App or by their child’s education setting.</p>",Rhagor o bobl yn gymwys i wneud cais am y taliad cymorth hunanynysu,2021-02-17T00:00:00Z,"<p><a href=""https://llyw.cymru/y-meini-prawf-ar-gyfer-taliad-cymorth-hunanynysu-yn-cael-eu-hymestyn?_ga=2.121678539.1161490513.1613991882-1956720571.1569933366"">Cyhoeddodd Julie James, y Gweinidog Tai a Llywodraeth Leol </a>newidiadau i’r cynllun Taliad Cymorth Hunanynysu, gwerth £500, sydd wedi'i ymestyn tan fis Mehefin 2021. Yn awr, gall pobl sydd ag incwm personol o lai na £500 yr wythnos a'r rhai sy’n cael Tâl Salwch Statudol Sylfaenol wneud cais am y taliad os bydd y gwasanaeth Profi, Olrhain, Diogelu, ap Covid-19 y GIG neu leoliad addysg eu plentyn yn gofyn iddynt hunanynysu.</p>"
